,Nome Responsável,Tipo de Medicao,Latitude,Longitude,Municipio,UF,Valor Medio,% do Limite,Número Estação,Operadora,ErbLat,ErbLong,Tecs,Time,Distancia,Power,Gain,Tx_Height,Rx_Height,Frequency
14223,Associação Brasileira de Compatibilidade Eletromagnética - ABRICEM,Faixa Larga,-16.40559,-48.97821,Anápolis,GO,0.4,0.02,1002483465,TIM,-16.4051111111111,-48.9786666666667,4G,2016-01-05 15:15:00,72.2,30.0,5.0,50.0,2.0,800
14224,Associação Brasileira de Compatibilidade Eletromagnética - ABRICEM,Faixa Larga,-16.40433,-48.97911,Anápolis,GO,0.81,0.08,1002483465,TIM,-16.4051111111111,-48.9786666666667,4G,2016-01-05 15:15:00,98.9,30.0,5.0,50.0,2.0,800
14225,Associação Brasileira de Compatibilidade Eletromagnética - ABRICEM,Faixa Larga,-16.40371,-48.97754,Anápolis,GO,0.51,0.03,1002483465,TIM,-16.4051111111111,-48.9786666666667,4G,2016-01-05 15:15:00,196.8,30.0,5.0,50.0,2.0,800
14226,Associação Brasileira de Compatibilidade Eletromagnética - ABRICEM,Faixa Larga,-16.40711,-48.97761,Anápolis,GO,0.78,0.08,1002483465,TIM,-16.4051111111111,-48.9786666666667,4G,2016-01-05 15:15:00,249.2,30.0,5.0,50.0,2.0,800
14241,Associação Brasileira de Compatibilidade Eletromagnética - ABRICEM,Faixa Larga,-16.40689,-48.94219,Anápolis,GO,0.2,0.01,1002487800,TIM,-16.4069444444444,-48.9419444444444,4G,2016-01-05 15:30:00,26.9,30.0,4.98,50.0,1.8,800
14242,Associação Brasileira de Compatibilidade Eletromagnética - ABRICEM,Faixa Larga,-16.40608,-48.94386,Anápolis,GO,0.66,0.06,1002487800,TIM,-16.4069444444444,-48.9419444444444,4G,2016-01-05 15:30:00,225.8,30.0,4.98,50.0,1.8,800
14243,Associação Brasileira de Compatibilidade Eletromagnética - ABRICEM,Faixa Larga,-16.40897,-48.94208,Anápolis,GO,0.22,0.01,1002487800,TIM,-16.4069444444444,-48.9419444444444,4G,2016-01-05 15:30:00,225.7,30.0,4.98,50.0,1.8,800
14244,Associação Brasileira de Compatibilidade Eletromagnética - ABRICEM,Faixa Larga,-16.40588,-48.93995,Anápolis,GO,0.62,0.05,1002487800,TIM,-16.4069444444444,-48.9419444444444,4G,2016-01-05 15:30:00,243.5,30.0,4.98,50.0,1.8,800
14284,Associação Brasileira de Compatibilidade Eletromagnética - ABRICEM,Faixa Larga,-16.36203,-48.98656,Anápolis,GO,0.3,0.01,1002483520,TIM,-16.37833,-48.98639,4G,2016-01-05 15:45:00,1812.6,59.6,9.96,59.4,1.4,1283
14285,Associação Brasileira de Compatibilidade Eletromagnética - ABRICEM,Faixa Larga,-16.36261,-48.985,Anápolis,GO,0.43,0.02,1002483520,TIM,-16.37833,-48.98639,4G,2016-01-05 15:45:00,1754.3,59.6,9.96,59.4,1.4,1283
14286,Associação Brasileira de Compatibilidade Eletromagnética - ABRICEM,Faixa Larga,-16.36061,-48.98772,Anápolis,GO,0.62,0.05,1002483520,TIM,-16.37833,-48.98639,4G,2016-01-05 15:45:00,1975.5,59.6,9.96,59.4,1.4,1283
14287,Associação Brasileira de Compatibilidade Eletromagnética - ABRICEM,Faixa Larga,-16.3635,-48.98714,Anápolis,GO,0.4,0.02,1002483520,TIM,-16.37833,-48.98639,4G,2016-01-05 15:45:00,1651.0,59.6,9.96,59.4,1.4,1283
14302,Associação Brasileira de Compatibilidade Eletromagnética - ABRICEM,Faixa Larga,-16.32564,-48.95647,Anápolis,GO,0.26,0.01,1002483597,TIM,-16.3255555555556,-48.9563888888889,4G,2016-01-05 16:00:00,12.8,30.0,5.0,50.0,1.9,800
14303,Associação Brasileira de Compatibilidade Eletromagnética - ABRICEM,Faixa Larga,-16.32475,-48.95567,Anápolis,GO,0.57,0.04,1002483597,TIM,-16.3255555555556,-48.9563888888889,4G,2016-01-05 16:00:00,117.9,30.0,5.0,50.0,1.9,800
14304,Associação Brasileira de Compatibilidade Eletromagnética - ABRICEM,Faixa Larga,-16.32553,-48.95753,Anápolis,GO,0.6,0.05,1002483597,TIM,-16.3255555555556,-48.9563888888889,4G,2016-01-05 16:00:00,121.8,30.0,5.0,50.0,1.9,800
14305,Associação Brasileira de Compatibilidade Eletromagnética - ABRICEM,Faixa Larga,-16.32661,-48.95667,Anápolis,GO,0.32,0.01,1002483597,TIM,-16.3255555555556,-48.9563888888889,4G,2016-01-05 16:00:00,121.0,30.0,5.0,50.0,1.9,800
14324,Associação Brasileira de Compatibilidade Eletromagnética - ABRICEM,Faixa Larga,-16.33125,-48.9705,Anápolis,GO,2.23,0.63,1002483228,TIM,-16.330806,-48.97,4G,2016-01-05 16:00:00,72.7,30.0,5.01,50.3,2.1,801
